id_test1,id_test2,pos_test1,pos_test2,diff_pos,cos_sim
5141,2953,t1,t2,1,0.9563118862731247
5141,5140,t1,t3,2,0.9948712983287221
5141,2732,t1,t4,3,0.8330398799604682
5141,2161,t1,t5,4,0.804311401829415
5141,2735,t1,t6,5,0.82272780588987
5141,2749,t1,t7,6,0.7863090865261894
5141,1204,t1,t8,7,0.780356639854715
5141,2720,t1,t9,8,0.6749272100626833
5141,510,t1,t10,9,0.3192885540431315
5141,4611,t1,t11,10,0.35485600192258676
5141,513,t1,t12,11,0.7277971014038793
5141,541,t1,t13,12,0.1932340625442286
5141,2751,t1,t14,13,0.04198439193314357
5141,4691,t1,t15,14,-0.07665088401039909
5141,2753,t1,t16,15,-0.05345310528563308
5141,2754,t1,t17,16,-0.1610610977895626
5141,2755,t1,t18,17,-0.21104640454822632
5141,2757,t1,t19,18,-0.6707410501531457
5141,506,t1,t20,19,-0.7223118086319518
5141,2959,t1,t21,20,-0.6406900585776827
5141,509,t1,t22,21,-0.7978387641129955
5141,2960,t1,t23,22,-0.6213306461642104
5141,2955,t1,t24,23,-0.6266381551275843
5141,2958,t1,t25,24,-0.8069737707355502
5141,511,t1,t26,25,-0.7924704231435239
5141,1128,t1,t27,26,-0.7542458992355624
5141,4821,t1,t28,27,-0.7560959867623653
5141,2957,t1,t29,28,-0.8190802812724692
5141,2961,t1,t30,29,-0.7239412811895178
5141,2962,t1,t31,30,-0.7294611150375344
5141,512,t1,t32,31,-0.5460260750059396
5141,2956,t1,t33,32,-0.7997777019487706
5141,2963,t1,t34,33,-0.8079238756563029
5141,2752,t1,t35,34,-0.7225350454142278
2953,5140,t2,t3,1,0.9508501694131437
2953,2732,t2,t4,2,0.8495092557393533
2953,2161,t2,t5,3,0.7763398898688117
2953,2735,t2,t6,4,0.8291034145470236
2953,2749,t2,t7,5,0.7984620868323788
2953,1204,t2,t8,6,0.8070391063373109
2953,2720,t2,t9,7,0.6632284072533365
2953,510,t2,t10,8,0.3099286244618864
2953,4611,t2,t11,9,0.3253497736520716
2953,513,t2,t12,10,0.7210926054455243
2953,541,t2,t13,11,0.2005834162022192
2953,2751,t2,t14,12,0.05320473892161064
2953,4691,t2,t15,13,-0.05278850679430583
2953,2753,t2,t16,14,-0.016720660318166602
2953,2754,t2,t17,15,-0.12103539348167183
2953,2755,t2,t18,16,-0.13650533561666975
2953,2757,t2,t19,17,-0.6874524722765636
2953,506,t2,t20,18,-0.7503792017970387
2953,2959,t2,t21,19,-0.6422873279112492
2953,509,t2,t22,20,-0.8210593633439663
2953,2960,t2,t23,21,-0.6351997448241847
2953,2955,t2,t24,22,-0.6324491478477803
2953,2958,t2,t25,23,-0.8237229806409775
2953,511,t2,t26,24,-0.813780478912334
2953,1128,t2,t27,25,-0.7787794181853279
2953,4821,t2,t28,26,-0.7808071357108642
2953,2957,t2,t29,27,-0.8216796531923373
2953,2961,t2,t30,28,-0.7336823397325248
2953,2962,t2,t31,29,-0.7348742305637401
2953,512,t2,t32,30,-0.5734222433999783
2953,2956,t2,t33,31,-0.8077215955714846
2953,2963,t2,t34,32,-0.8178759647139473
2953,2752,t2,t35,33,-0.757128987667159
5140,2732,t3,t4,1,0.8242253637893396
5140,2161,t3,t5,2,0.7960756822218347
5140,2735,t3,t6,3,0.8134323558651605
5140,2749,t3,t7,4,0.7782292246913635
5140,1204,t3,t8,5,0.7699061442037534
5140,2720,t3,t9,6,0.6688499393142147
5140,510,t3,t10,7,0.2893378158591488
5140,4611,t3,t11,8,0.328628263576356
5140,513,t3,t12,9,0.7048863240447527
5140,541,t3,t13,10,0.16625315432776094
5140,2751,t3,t14,11,0.006042537387205431
5140,4691,t3,t15,12,-0.11983156693128584
5140,2753,t3,t16,13,-0.08784362476087008
5140,2754,t3,t17,14,-0.19247730055187687
5140,2755,t3,t18,15,-0.2354337992939652
5140,2757,t3,t19,16,-0.6757837767543203
5140,506,t3,t20,17,-0.727123990035805
5140,2959,t3,t21,18,-0.6281218340666497
5140,509,t3,t22,19,-0.7944736616425445
5140,2960,t3,t23,20,-0.5972951331656174
5140,2955,t3,t24,21,-0.6011771259105464
5140,2958,t3,t25,22,-0.7933293107371536
5140,511,t3,t26,23,-0.7889755282527564
5140,1128,t3,t27,24,-0.7331302187746526
5140,4821,t3,t28,25,-0.7532921453194462
5140,2957,t3,t29,26,-0.7904281682030707
5140,2961,t3,t30,27,-0.69844523930152
5140,2962,t3,t31,28,-0.7083519960472233
5140,512,t3,t32,29,-0.5182106076317459
5140,2956,t3,t33,30,-0.7702208660178373
5140,2963,t3,t34,31,-0.775243668454602
5140,2752,t3,t35,32,-0.6880845657941436
2732,2161,t4,t5,1,0.8940119633587423
2732,2735,t4,t6,2,0.9803986760487672
2732,2749,t4,t7,3,0.9314998682092297
2732,1204,t4,t8,4,0.8634567807253614
2732,2720,t4,t9,5,0.8168701820744683
2732,510,t4,t10,6,0.3757599123768649
2732,4611,t4,t11,7,0.3747795233063105
2732,513,t4,t12,8,0.8442436781381023
2732,541,t4,t13,9,0.2847185878882443
2732,2751,t4,t14,10,0.17024479413508697
2732,4691,t4,t15,11,0.08427330774728739
2732,2753,t4,t16,12,0.09251749378540307
2732,2754,t4,t17,13,-0.017442604158459316
2732,2755,t4,t18,14,-0.0551805109172207
2732,2757,t4,t19,15,-0.7321998958578025
2732,506,t4,t20,16,-0.8044813658881868
2732,2959,t4,t21,17,-0.7791588093012927
2732,509,t4,t22,18,-0.9158009143292942
2732,2960,t4,t23,19,-0.762781206007697
2732,2955,t4,t24,20,-0.7669068738065703
2732,2958,t4,t25,21,-0.8993066324904108
2732,511,t4,t26,22,-0.9103594746129426
2732,1128,t4,t27,23,-0.8870643348755373
2732,4821,t4,t28,24,-0.8112561394547423
2732,2957,t4,t29,25,-0.8882283867061753
2732,2961,t4,t30,26,-0.8377861542424122
2732,2962,t4,t31,27,-0.8428299463401479
2732,512,t4,t32,28,-0.6844729539779937
2732,2956,t4,t33,29,-0.8724028192391593
2732,2963,t4,t34,30,-0.8743527271578786
2732,2752,t4,t35,31,-0.8123970679470877
2161,2735,t5,t6,1,0.9053642073671825
2161,2749,t5,t7,2,0.9527934357114455
2161,1204,t5,t8,3,0.8309354653247708
2161,2720,t5,t9,4,0.963222075366432
2161,510,t5,t10,5,0.36154792030609995
2161,4611,t5,t11,6,0.3228406863147852
2161,513,t5,t12,7,0.8110932696236228
2161,541,t5,t13,8,0.17704929761892294
2161,2751,t5,t14,9,0.14932883812141926
2161,4691,t5,t15,10,0.022869924182658503
2161,2753,t5,t16,11,0.05502072489181583
2161,2754,t5,t17,12,-0.060631856572102356
2161,2755,t5,t18,13,-0.13785874487801106
2161,2757,t5,t19,14,-0.7406604587931946
2161,506,t5,t20,15,-0.7939665775638104
2161,2959,t5,t21,16,-0.7173611395287454
2161,509,t5,t22,17,-0.9037412356543698
2161,2960,t5,t23,18,-0.6808186808975799
2161,2955,t5,t24,19,-0.6845327266034738
2161,2958,t5,t25,20,-0.8971970901935531
2161,511,t5,t26,21,-0.8975895141075937
2161,1128,t5,t27,22,-0.8865517690774984
2161,4821,t5,t28,23,-0.7794944326812865
2161,2957,t5,t29,24,-0.8736720621571573
2161,2961,t5,t30,25,-0.8446292912339518
2161,2962,t5,t31,26,-0.8564826717673052
2161,512,t5,t32,27,-0.6472578642390465
2161,2956,t5,t33,28,-0.8803602162780282
2161,2963,t5,t34,29,-0.8781780530087592
2161,2752,t5,t35,30,-0.755476488488786
2735,2749,t6,t7,1,0.9576442246758301
2735,1204,t6,t8,2,0.8471484174438698
2735,2720,t6,t9,3,0.8468144057548476
2735,510,t6,t10,4,0.3688432363975425
2735,4611,t6,t11,5,0.33413352029316057
2735,513,t6,t12,6,0.8551790682590076
2735,541,t6,t13,7,0.2580763887708058
2735,2751,t6,t14,8,0.14791312309054022
2735,4691,t6,t15,9,0.07371729145742924
2735,2753,t6,t16,10,0.07033028539261231
2735,2754,t6,t17,11,-0.03792776476659516
2735,2755,t6,t18,12,-0.0857620490658196
2735,2757,t6,t19,13,-0.7664257411014491
2735,506,t6,t20,14,-0.8370044466817365
2735,2959,t6,t21,15,-0.8292937549968246
2735,509,t6,t22,16,-0.9391040468247103
2735,2960,t6,t23,17,-0.7942702529906719
2735,2955,t6,t24,18,-0.7939276633734432
2735,2958,t6,t25,19,-0.9265642043790904
2735,511,t6,t26,20,-0.9258317479567473
2735,1128,t6,t27,21,-0.9107669189053107
2735,4821,t6,t28,22,-0.7878885414327443
2735,2957,t6,t29,23,-0.9078854677381031
2735,2961,t6,t30,24,-0.8403102979551358
2735,2962,t6,t31,25,-0.8514359337676592
2735,512,t6,t32,26,-0.6726490668416445
2735,2956,t6,t33,27,-0.8796522864229452
2735,2963,t6,t34,28,-0.8788817149143804
2735,2752,t6,t35,29,-0.7901818109610492
2749,1204,t7,t8,1,0.8747747034011369
2749,2720,t7,t9,2,0.9308585017699109
2749,510,t7,t10,3,0.3689383235238919
2749,4611,t7,t11,4,0.26331968308726234
2749,513,t7,t12,5,0.8403096404823862
2749,541,t7,t13,6,0.1835705868779585
2749,2751,t7,t14,7,0.08869166408079056
2749,4691,t7,t15,8,0.01686789594875064
2749,2753,t7,t16,9,0.024110175688062924
2749,2754,t7,t17,10,-0.07348095077495186
2749,2755,t7,t18,11,-0.1296822006334241
2749,2757,t7,t19,12,-0.8083386468359127
2749,506,t7,t20,13,-0.8701486105415857
2749,2959,t7,t21,14,-0.8218922809591724
2749,509,t7,t22,15,-0.9431700358581988
2749,2960,t7,t23,16,-0.7788453093495155
2749,2955,t7,t24,17,-0.7709691385451986
2749,2958,t7,t25,18,-0.9201934385879098
2749,511,t7,t26,19,-0.9212806326609738
2749,1128,t7,t27,20,-0.9042051123664326
2749,4821,t7,t28,21,-0.7796714052853885
2749,2957,t7,t29,22,-0.887611511038975
2749,2961,t7,t30,23,-0.8721729090813235
2749,2962,t7,t31,24,-0.8777456338530304
2749,512,t7,t32,25,-0.6475884188776682
2749,2956,t7,t33,26,-0.9118043447214284
2749,2963,t7,t34,27,-0.8951755721658254
2749,2752,t7,t35,28,-0.7778194883800907
1204,2720,t8,t9,1,0.7523320747899336
1204,510,t8,t10,2,0.3863691978461736
1204,4611,t8,t11,3,0.38752586655642074
1204,513,t8,t12,4,0.8624755327345554
1204,541,t8,t13,5,0.2740447173106607
1204,2751,t8,t14,6,0.17996189664630358
1204,4691,t8,t15,7,0.05225107438760392
1204,2753,t8,t16,8,0.1379434652162908
1204,2754,t8,t17,9,0.03683292656133676
1204,2755,t8,t18,10,0.008903659764572061
1204,2757,t8,t19,11,-0.6673089519060221
1204,506,t8,t20,12,-0.7697772883277263
1204,2959,t8,t21,13,-0.7712516031863462
1204,509,t8,t22,14,-0.8385644343120079
1204,2960,t8,t23,15,-0.7782633708510949
1204,2955,t8,t24,16,-0.755006355977748
1204,2958,t8,t25,17,-0.8141546169892965
1204,511,t8,t26,18,-0.8213746583446124
1204,1128,t8,t27,19,-0.7838834646319391
1204,4821,t8,t28,20,-0.7998283497376889
1204,2957,t8,t29,21,-0.7852551077442018
1204,2961,t8,t30,22,-0.8829843539586246
1204,2962,t8,t31,23,-0.8821240241004044
1204,512,t8,t32,24,-0.6787636350210943
1204,2956,t8,t33,25,-0.8688884492324765
1204,2963,t8,t34,26,-0.8927139541625869
1204,2752,t8,t35,27,-0.7988673561706794
2720,510,t9,t10,1,0.33688833281120795
2720,4611,t9,t11,2,0.2082034730674365
2720,513,t9,t12,3,0.7542229905923213
2720,541,t9,t13,4,0.0676180804959884
2720,2751,t9,t14,5,0.05318317369901103
2720,4691,t9,t15,6,-0.02416306507069227
2720,2753,t9,t16,7,-0.01688077734405215
2720,2754,t9,t17,8,-0.1028588588868065
2720,2755,t9,t18,9,-0.19455578425304998
2720,2757,t9,t19,10,-0.7950287196318667
2720,506,t9,t20,11,-0.8239692014354706
2720,2959,t9,t21,12,-0.687169336384269
2720,509,t9,t22,13,-0.871039972512916
2720,2960,t9,t23,14,-0.6263359837855098
2720,2955,t9,t24,15,-0.615953568421183
2720,2958,t9,t25,16,-0.8669652825054587
2720,511,t9,t26,17,-0.8496261920177163
2720,1128,t9,t27,18,-0.8518287682116643
2720,4821,t9,t28,19,-0.69684164025357
2720,2957,t9,t29,20,-0.8167925202408186
2720,2961,t9,t30,21,-0.8016200823365829
2720,2962,t9,t31,22,-0.8060928618328577
2720,512,t9,t32,23,-0.5643249966695955
2720,2956,t9,t33,24,-0.8517964138882317
2720,2963,t9,t34,25,-0.8144755798051534
2720,2752,t9,t35,26,-0.6914870997173443
510,4611,t10,t11,1,0.4439964037497607
510,513,t10,t12,2,0.5002784504961302
510,541,t10,t13,3,0.3709043191312066
510,2751,t10,t14,4,0.2414526466553936
510,4691,t10,t15,5,0.2565337465236658
510,2753,t10,t16,6,0.1907617586428456
510,2754,t10,t17,7,0.1367022709528378
510,2755,t10,t18,8,0.07611801104585315
510,2757,t10,t19,9,-0.25472273810357726
510,506,t10,t20,10,-0.27397892718295497
510,2959,t10,t21,11,-0.3055253162703473
510,509,t10,t22,12,-0.3807557521790089
510,2960,t10,t23,13,-0.3856261466843163
510,2955,t10,t24,14,-0.3744671502201485
510,2958,t10,t25,15,-0.4236569163658353
510,511,t10,t26,16,-0.41524960822005336
510,1128,t10,t27,17,-0.43850307432931773
510,4821,t10,t28,18,-0.27001325821245625
510,2957,t10,t29,19,-0.4277037631159201
510,2961,t10,t30,20,-0.32145178236119365
510,2962,t10,t31,21,-0.33402426431846594
510,512,t10,t32,22,-0.32383660496834843
