feature,feature_id,importance
TES_PRO_OwnersExperience,f36,363
REC_Age,f45,333
TES_PRO_AllCommitersExperience,f37,280
REC_LastExeTime,f61,272
REC_RecentAvgExeTime,f48,217
REC_RecentMaxExeTime,f49,187
REC_TotalAvgExeTime,f54,178
TES_COM_CountLineComment,f7,103
REC_TotalMaxExeTime,f55,88
TES_COM_CountLine,f2,68
REC_TotalTransitionRate,f59,60
REC_TotalFailRate,f56,55
REC_LastFailureAge,f46,48
TES_COM_RatioCommentToCode,f11,48
TES_PRO_OwnersContribution,f34,48
TES_PRO_CommitCount,f32,47
TES_COM_CountDeclFunction,f1,37
TES_COM_CountLineBlank,f3,37
COD_COV_COM_IMP_CountLine,f113,31
REC_LastTransitionAge,f47,29
TES_COM_CountDeclMethodPrivate,f29,26
COD_COV_PRO_IMP_OwnersExperience,f147,26
TES_COM_CountDeclClassVariable,f23,25
COV_ImpScoreSum,f65,24
REC_TotalAssertRate,f57,23
REC_LastVerdict,f60,21
TES_COM_CountLineCodeDecl,f5,21
REC_MaxTestFileFailRate,f62,21
COD_COV_COM_IMP_CountLineComment,f118,21
REC_RecentFailRate,f50,19
TES_COM_CountStmtExe,f10,16
COD_COV_PRO_IMP_OwnersContribution,f145,15
COV_ImpCount,f67,11
COD_COV_COM_IMP_CountDeclClassMethod,f133,11
TES_COM_MaxCyclomatic,f12,11
TES_COM_CountLineCodeExe,f6,10
TES_COM_CountDeclInstanceVariable,f26,9
TES_COM_CountDeclInstanceMethod,f25,9
COD_COV_COM_IMP_CountDeclInstanceVariable,f137,9
COD_COV_COM_IMP_RatioCommentToCode,f122,9
TES_COM_CountLineCode,f4,9
REC_TotalExcRate,f58,9
REC_RecentTransitionRate,f53,8
COD_COV_PRO_IMP_AllCommitersExperience,f148,7
COD_COV_COM_IMP_MaxCyclomatic,f123,7
TES_CHN_DMMSize,f42,6
TES_CHN_LinesDeleted,f39,6
TES_PRO_MinorContributorCount,f35,6
TES_PRO_DistinctDevCount,f33,6
COD_COV_COM_IMP_CountLineCodeExe,f117,5
COD_COV_COM_IMP_CountDeclClassVariable,f134,4
COD_COV_COM_IMP_CountLineCodeDecl,f116,4
COD_COV_COM_IMP_CountDeclMethodPublic,f142,4
DET_COV_IMP_Faults,f150,4
TES_COM_CountStmt,f8,4
TES_COM_MaxCyclomaticStrict,f14,4
TES_CHN_LinesAdded,f38,3
REC_MaxTestFileTransitionRate,f63,3
COD_COV_COM_IMP_CountLineBlank,f114,3
COD_COV_PRO_IMP_DistinctDevCount,f144,3
TES_COM_SumCyclomatic,f17,3
